timestamp;Equipamento;Tipo;Modelo;HEF;HTI;HAO;HOE;HOI;HTD;HMC;HAC;MPS;MPNS;Manutenção Corretiva;Manutenção Preventiva;Manutenção Total;Horas Trabalhadas;Horas Calendario;Producao;DF;UF;RO;Produtividade;Nº Corretivas;Nº Preventivas;Nº Manutenção;MTBF;MTTR;MTBS;MTTS
jun/22;PT3114;Patrol;Patrol 24M;0;224,8;0;4;57,8;0;20,7;0;223,1;33;20,7;256,1;276,8;224,8;563,3;;50,90%;78,50%;0,8;;7;6;13;32,1;3;17,3;39,5
jun/22;PT3116;Patrol;Patrol 24M;0;410,1;0;2,2;65,4;0;33,8;0;0;51,8;33,8;51,8;85,6;410,1;563,3;;84,80%;85,80%;0,9;;10;2;12;41;3,4;34,2;8,6
jun/22;PT3117;Patrol;Patrol 24M;0;299,1;0;0;170,6;53,5;33,2;0;3,4;3,6;33,2;7,1;40,2;352,5;563,3;;92,90%;67,40%;0,7;;5;2;7;70,5;6,6;50,4;8
jun/22;PT3118;Patrol;Patrol 24M;0;108,8;0;0;39,2;0;76,2;0;281,8;57,3;76,2;339,1;415,3;108,8;563,3;;26,30%;73,50%;0,7;;7;4;11;15,5;10,9;9,9;59,3
jun/22;PT3119;Patrol;Patrol 24M;0;376,1;0;4,7;97,4;1,6;26,2;6,1;0,5;50,7;32,3;51,2;83,5;377,7;563,3;;85,20%;78,70%;0,8;;6;3;9;62,9;5,4;42;13,9
jun/22;PT3120;Patrol;Patrol 24M;0;251,6;0;2,8;101,1;0;170,7;0;26,3;10,8;170,7;37;207,7;251,6;563,3;;63,10%;70,80%;0,7;;7;3;10;35,9;24,4;25,2;29,7
jun/22;PT3121;Patrol;Patrol 24M;0;388,1;0;3,7;58,5;0;30,3;0;45,7;36,9;30,3;82,6;112,9;388,1;563,3;;80,00%;86,20%;0,9;;9;3;12;43,1;3,4;32,3;12,5
jun/22;PT3123;Patrol;Patrol 24M;0;131,8;0;0;70,5;16,3;84,2;0;260,4;0;84,2;260,4;344,6;148,2;563,3;;38,80%;67,80%;0,7;;5;1;6;29,6;16,8;24,7;68,9
jun/22;PT3124;Patrol;Patrol 24M;0;143,9;0;0;96,3;19;253,4;0;20,6;30,2;253,4;50,8;304,2;162,8;563,3;;46,00%;62,80%;0,6;;2;3;5;81,4;126,7;32,6;152,1
jun/22;PT3125;Patrol;Patrol 24M;0;261,3;0,6;0,1;54,2;0;123,7;0;123,5;0;123,7;123,5;247,2;261,8;563,3;;56,10%;82,80%;0,8;;12;1;13;21,8;10,3;20,1;20,6
jun/22;PT3126;Patrol;Patrol 24M;0;33,8;0;1;9,6;0;308,9;0;210,1;0;308,9;210,1;519;33,8;563,3;;7,90%;76,10%;0,8;;2;1;3;16,9;154,4;11,3;259,5
jun/22;PT3127;Patrol;Patrol 24M;0;158,5;0;0;20,3;0;93,7;0;288,1;2,6;93,7;290,8;384,5;158,5;563,3;;31,70%;88,60%;0,9;;3;2;5;52,8;31,2;31,7;128,2
jun/22;PT3128;Patrol;Patrol 24M;0;382,2;0;0,8;66,8;0;23,9;19,9;58,6;11,2;43,8;69,8;113,5;382,2;563,3;;79,80%;85,00%;0,8;;5;2;7;76,4;8,8;54,6;22,7
jun/22;PT3129;Patrol;Patrol 24M;0;389,2;0;0;59,9;2,9;30,8;0;41,4;39,2;30,8;80,6;111,3;392,1;563,3;;80,20%;86,70%;0,9;;7;5;12;56;4,4;32,7;15,9
